paper_idx,arxiv_id,year,total_citations,num_references,paper_age,citations_per_year
5406,709.0572,2007,24,26,18,1.263157894736842
4760,708.2239,2007,24,25,18,1.263157894736842
5601,709.1317,2007,24,47,18,1.263157894736842
8866,711.4726,2007,24,56,18,1.263157894736842
4383,708.0675,2007,24,27,18,1.263157894736842
9278,712.1308,2007,24,48,18,1.263157894736842
5025,708.3353,2007,24,13,18,1.263157894736842
9063,712.0486,2007,24,55,18,1.263157894736842
4626,708.1647,2007,24,61,18,1.263157894736842
8780,711.4384,2007,24,36,18,1.263157894736842
5390,709.0526,2007,24,34,18,1.263157894736842
1604,705.2507,2007,24,35,18,1.263157894736842
4885,708.2778,2007,24,29,18,1.263157894736842
5122,708.3833,2007,24,29,18,1.263157894736842
312,704.1237,2007,24,49,18,1.263157894736842
4501,708.1158,2007,24,26,18,1.263157894736842
1701,705.2962,2007,24,31,18,1.263157894736842
360,704.1405,2007,24,49,18,1.263157894736842
378,704.1496,2007,24,30,18,1.263157894736842
5477,709.0833,2007,24,64,18,1.263157894736842
4460,708.1004,2007,24,46,18,1.263157894736842
5187,708.412,2007,24,79,18,1.263157894736842
5674,709.158,2007,24,49,18,1.263157894736842
615,704.2408,2007,24,55,18,1.263157894736842
5540,709.1053,2007,24,26,18,1.263157894736842
1617,705.2552,2007,24,62,18,1.263157894736842
5179,708.4091,2007,24,39,18,1.263157894736842
4492,708.1132,2007,24,19,18,1.263157894736842
4793,708.239,2007,24,45,18,1.263157894736842
5333,709.03,2007,24,59,18,1.263157894736842
1360,705.1545,2007,24,35,18,1.263157894736842
9177,712.0941,2007,24,25,18,1.263157894736842
5203,708.4192,2007,24,31,18,1.263157894736842
5256,709.0004,2007,24,22,18,1.263157894736842
5389,709.0525,2007,24,71,18,1.263157894736842
6471,710.0221,2007,24,41,18,1.263157894736842
9345,712.1541,2007,24,36,18,1.263157894736842
1008,705.0001,2007,24,53,18,1.263157894736842
3073,706.4024,2007,24,66,18,1.263157894736842
80,704.0355,2007,24,36,18,1.263157894736842
7307,710.3816,2007,24,93,18,1.263157894736842
9746,712.3107,2007,24,10,18,1.263157894736842
9743,712.3094,2007,24,84,18,1.263157894736842
7268,710.3682,2007,24,61,18,1.263157894736842
7256,710.3618,2007,24,12,18,1.263157894736842
2203,706.041,2007,24,33,18,1.263157894736842
871,704.3369,2007,24,64,18,1.263157894736842
7120,710.2997,2007,24,67,18,1.263157894736842
7081,710.2793,2007,24,20,18,1.263157894736842
7054,710.2656,2007,24,11,18,1.263157894736842
3250,707.0347,2007,24,16,18,1.263157894736842
3281,707.0489,2007,24,82,18,1.263157894736842
919,704.3567,2007,24,15,18,1.263157894736842
924,704.3584,2007,24,30,18,1.263157894736842
5857,709.2362,2007,24,71,18,1.263157894736842
3360,707.083,2007,24,19,18,1.263157894736842
6758,710.1382,2007,24,64,18,1.263157894736842
3425,707.1081,2007,24,34,18,1.263157894736842
985,704.3884,2007,24,64,18,1.263157894736842
821,704.3183,2007,24,86,18,1.263157894736842
801,704.3108,2007,24,66,18,1.263157894736842
7451,710.4485,2007,24,56,18,1.263157894736842
8194,711.1904,2007,24,62,18,1.263157894736842
2443,706.136,2007,24,44,18,1.263157894736842
8035,711.1196,2007,24,22,18,1.263157894736842
8023,711.1158,2007,24,116,18,1.263157894736842
2498,706.1623,2007,24,33,18,1.263157894736842
2409,706.1259,2007,24,16,18,1.263157894736842
8143,711.1704,2007,24,16,18,1.263157894736842
8163,711.179,2007,24,22,18,1.263157894736842
31,704.0209,2007,24,13,18,1.263157894736842
2710,706.2548,2007,24,10,18,1.263157894736842
2336,706.0991,2007,24,34,18,1.263157894736842
3014,706.3804,2007,24,28,18,1.263157894736842
723,704.2836,2007,24,27,18,1.263157894736842
2722,706.2572,2007,24,314,18,1.263157894736842
9869,712.3642,2007,24,26,18,1.263157894736842
8237,711.2066,2007,24,86,18,1.263157894736842
754,704.2949,2007,24,34,18,1.263157894736842
